bakken	 bakte	 bakten	 gebakken (heb)
lopen	 liep	 liepen	 gelopen (ben/heb)
meten	 mat	 maten	 gemeten (heb)
moeten	 moest	 moesten	 gemoeten (heb)
mogen	 mocht	 mochten	 gemogen (heb)
nemen	 nam	 namen	 genomen (heb)
ontbijten	 ontbeet	 ontbeten	 ontbeten (heb)
ontwerpen	 ontwierp	 ontwierpen	 ontworpen (heb)
overlijden	 overleed	 overleden	 overleden (ben)
raden	 raadde	 raadden	 geraden (heb)
rijden	 reed	 reden	 gereden (ben/heb)
roepen	 riep	 riepen	 geroepen (heb)
ruiken	 rook	 roken	 geroken (heb)
scheiden	 scheidde	 scheidden	 gescheiden (ben/heb)
schelden	 schold	 scholden	 gescholden (heb)
schenken	 schonk	 schonken	 geschonken (heb)
scheren	 schoor	 schoren	 geschoren (heb)
schieten	 schoot	 schoten	 geschoten (heb)
schijnen	 scheen	 schenen	 geschenen (heb)
schrijven	 schreef	 schreven	 geschreven (heb)
schrikken	 schrok	 schrokken	 geschrokken (ben)
schuiven	 schoof	 schoven	 geschoven (ben/heb)
slaan	 sloeg	 sloegen	 geslagen (heb)
slapen	 sliep	 sliepen	 geslapen (heb)
slijpen	 sleep	 slepen	 geslepen (heb)
sluipen	 sloop	 slopen	 geslopen (ben)
sluiten	 sloot	 sloten	 gesloten (heb)
smelten	 smolt	 smolten	 gesmolten (heb)
snijden	 sneed	 sneden	 gesneden (heb)
snuiten	 snoot	 snoten	 gesnoten (heb)
snuiven snoof	 snoven	 gesnoven (heb)
spijten	 speet (het) 	 –	 gespeten (heeft)
spreken	 sprak	 spraken	 gesproken (heb)
springen	 sprong	 sprongen	 gesprongen (ben/heb)
spuiten	 spoot	 spoten	 gespoten (heb)
staan	 stond	 stonden	 gestaan (heb)
steken	 stak	 staken	 gestoken (heb)
stelen	 stal	 stalen	 gestolen (heb)
sterven	 stierf	 stierven	 gestorven (ben)
stijgen	 steeg	 stegen	 gestegen (ben)
stinken	 stonk	 stonken	 gestonken (heb)
strijden	 streed	 streden	 gestreden (heb)
strijken	 streek	 streken	 gestreken (heb)
trekken	 trok	 trokken	 getrokken (ben/heb)
vallen	 viel	 vielen	 gevallen (ben)
vangen	 ving	 vingen	 gevangen (heb)
varen	 voer	 voeren	 gevaren (ben/heb)
vechten	 vocht	 vochten	 gevochten (heb)
verbieden	 verbood	 verboden	 verboden (heb)
verdwijnen	 verdween	 verdwenen	 verdwenen (ben)
vergelijken	 vergeleek	 vergeleken	 vergeleken (heb)
vergeten	 vergat	 vergaten	 vergeten (ben/heb)
verliezen	 verloor	 verloren	 verloren (ben/heb)
vermijden	 vermeed	 vermeden	 vermeden (heb)
verraden	 verraadde	 verraadden	 verraden (heb)
vertrekken	 vertrok	 vertrokken	 vertrokken (ben)
verwijten	 verweet	 verweten	 verweten (heb)
verzinnen	 verzon	 verzonnen	 verzonnen (heb)
vinden	 vond	 vonden	 gevonden (heb)
vliegen	 vloog	 vlogen	 gevlogen (ben/heb)
vouwen	 vouwde	 vouwden	 gevouwen (heb)
vragen	 vroeg	 vroegen	 gevraagd (heb)
vriezen	 vroor (het)	 –	 gevroren (heeft)
wassen	 waste	 wasten	 gewassen (ben/heb)
wegen	 woog	 wogen	 gewogen (heb)
werpen	 wierp	 wierpen	 geworpen (heb)
weten	 wist	 wisten	 geweten (heb)
wijzen	 wees	 wezen	 gewezen (heb)
willen	 wilde/wou	 wilden/wouden	 gewild (heb)
winnen	 won	 wonnen	 gewonnen (heb)
worden	 werd	 werden	 geworden (ben)
wrijven	 wreef	 wreven	 gewreven (heb)
zeggen	 zei	 zeiden	 gezegd (heb)
zenden	 zond	 zonden	 gezonden (heb)
zien	 zag	 zagen	 gezien (heb)
zijn	 was	 waren	 geweest (ben)
zingen	 zong	 zongen	 gezongen (heb)
zinken	 zonk	 zonken	 gezonken (ben)
zitten	 zat	 zaten	 gezeten (heb)
zoeken	 zocht	 zochten	 gezocht (heb)
zuigen	 zoog	 zogen	 gezogen (heb)
zullen	 zou	 zouden	 –
zwemmen	 zwom	 zwommen	 gezwommen (ben/heb)
zwijgen	 zweeg	 zwegen	 gezwegen (heb)
